0 336305536465646540000000000000000000000.000000 0.000000 413471608183831550000000000000.000000 0.000000 877739355375389990000000000000.000000 0.000000 -661014167439933090000000000000.000000 0.000000 400 1941915892491353500000000000000000000000000000000.000000
1 679994866034594430000000000000000000000.000000 0.000000 1360453396214168200000000000000.000000 0.000000 323433715860669690000000000000.000000 0.000000 -277012545442049570000000000000.000000 0.000000 400 1941915892491353500000000000000000000000000000000.000000
2 690537930504900770000000000000000000000.000000 -167307968939592270000000000000000000.000000 1164035186840499900000000000000.000000 -8065445108854592100000000000.000000 2148942415430453300000000000000.000000 -75888024188324628000000000000.000000 -2217793328161491200000000000000.000000 -48265331006795567000000000000.000000 407 1914219317074695000000000000000000000000000000000.000000
3 710794706614532090000000000000000000000.000000 -7118044276007037000000000000000000000.000000 2507488667600226200000000000000.000000 -8460887072101958800000000000.000000 -218748225036047210000000000000.000000 136369890355236840000000000000.000000 1003120266335012100000000000000.000000 78957166962044204000000000000.000000 406 1911585593645503700000000000000000000000000000000.000000
4 803484395487294460000000000000000000000.000000 -43936559162444544000000000000000000000.000000 3070957965677111700000000000000.000000 -13530583124172960000000000000.000000 -506370454702046210000000000000.000000 577911338329724580000000000000.000000 -2193390240559258500000000000000.000000 430259758958608910000000000000.000000 408 1904801024996111700000000000000000000000000000000.000000
5 886751918198487740000000000000000000000.000000 -68117368383429102000000000000000000000.000000 3116221795148340600000000000000.000000 -15469341591632072000000000000.000000 1081550558576854700000000000000.000000 908963224979341160000000000000.000000 -2393929171843287600000000000000.000000 670634876233484970000000000000.000000 430 1900589494904270800000000000000000000000000000000.000000
6 915817068940149660000000000000000000000.000000 -85562749054128932000000000000000000000.000000 2991769095285845900000000000000.000000 -30165932303634700000000000000.000000 3577592727387467700000000000000.000000 848696624665015030000000000000.000000 584282697652242640000000000000.000000 656865471161231750000000000000.000000 435 1884083209818094100000000000000000000000000000000.000000
7 983391933355210570000000000000000000000.000000 -103405359997233450000000000000000000000.000000 3724900506131479400000000000000.000000 -40778515379493570000000000000.000000 -262204290383195000000000000000.000000 521479625031959250000000000000.000000 1409190275131786400000000000000.000000 904247325615087940000000000000.000000 431 1866193309658517100000000000000000000000000000000.000000
8 957262276461134090000000000000000000000.000000 -143924442098020250000000000000000000000.000000 2811900357865428600000000000000.000000 -56619476781507044000000000000.000000 1767461828319974500000000000000.000000 624668013000364960000000000000.000000 -293438497167290570000000000000.000000 1496106458707989500000000000000.000000 427 1846628507041666600000000000000000000000000000000.000000
9 954346195345076610000000000000000000000.000000 -154250635978564540000000000000000000000.000000 2243169586660060900000000000000.000000 -68513326128126870000000000000.000000 134892957728579640000000000000.000000 458962469255690640000000000000.000000 464995993090841340000000000000.000000 1058026243767617000000000000000.000000 422 1815400072095539800000000000000000000000000000000.000000
