10000000000000.000000 -1.#IND00
9795918367346.939500 -1.#IND00
9591836734693.877000 -1.#IND00
9387755102040.816400 -1.#IND00
9183673469387.755900 -1.#IND00
8979591836734.693400 -1.#IND00
8775510204081.632800 -1.#IND00
8571428571428.572300 -1.#IND00
8367346938775.510700 -1.#IND00
8163265306122.449200 -1.#IND00
7959183673469.387700 -1.#IND00
7755102040816.326200 -1.#IND00
7551020408163.264600 -1.#IND00
7346938775510.204100 -1.#IND00
7142857142857.142600 -1.#IND00
6938775510204.083000 -1.#IND00
6734693877551.021500 -1.#IND00
6530612244897.960000 -1.#IND00
6326530612244.898400 -1.#IND00
6122448979591.836900 -1.#IND00
5918367346938.775400 -1.#IND00
5714285714285.713900 -1.#IND00
5510204081632.653300 -1.#IND00
5306122448979.591800 -1.#IND00
5102040816326.530300 -1.#IND00
4897959183673.469700 -1.#IND00
4693877551020.409200 -1.#IND00
4489795918367.347700 -1.#IND00
4285714285714.286100 -1.#IND00
4081632653061.224600 -1.#IND00
3877551020408.164100 -1.#IND00
3673469387755.103000 -1.#IND00
3469387755102.041500 -1.#IND00
3265306122448.980000 -1.#IND00
3061224489795.918500 -1.#IND00
2857142857142.857900 -1.#IND00
2653061224489.796900 -1.#IND00
2448979591836.735400 -1.#IND00
2244897959183.673800 -1.#IND00
2040816326530.613300 -1.#IND00
1836734693877.552000 -1.#IND00
1632653061224.490500 -1.#IND00
1428571428571.429000 -1.#IND00
1224489795918.367700 -1.#IND00
1020408163265.307300 -1.#IND00
816326530612.245850 -1.#IND00
612244897959.184330 -1.#IND00
408163265306.122920 -1.#IND00
204081632653.061460 -1.#IND00
0.001110 -1.#IND00
